Region,OFFCORE,UNDEFINED,RTM,FE,TLB,STALL,INT,L1,L3,L3I,BR,MEM,L2,UOPS,PRE,FP
Nyx::remove_virtual_particles(),0.0731471639410385,nan,nan,0.6276661551446109,1.0,0.12834398820321255,0.03419476276086295,0.11773897985943815,0.10277078156896001,0.0,0.2960231575509176,0.18495338596918304,0.8541216752596951,0.2138264681406856,0.12358939455529437,0.01999778401842529
Nyx::setup_virtual_particles(),0.10737251461783726,nan,nan,0.5486728741937522,0.2592616585712537,0.22556906639219473,0.15170315525913958,0.3233882048006145,0.12483396978115632,0.0,0.806157341673666,0.20247130867416685,1.0,0.8898706244434689,0.10824436379998821,0.0
Nyx::strang_hydro(),0.9185706961838371,nan,nan,0.04895733365738242,0.9883637278382182,0.1161081215016472,0.0,0.04965823568071245,0.4698589748649268,0.0,0.0,1.0,0.4521080547153558,0.34027332791705506,0.01574298350831341,0.06461763749723358
analriem,0.14006957418428415,nan,nan,0.30925936250288233,0.8437700673221217,0.31339320808930504,0.0,0.2225848638739726,0.17002056983206307,0.0,0.0258546971243632,0.9466658491384367,1.0,0.018661482031567953,0.26024256870173573,0.0
ctoprim,0.039219795594562845,nan,nan,0.3467052555443106,0.45952480442736654,0.42136141712423947,0.01494942762525162,0.2690934690819254,0.014029052004323637,0.03110779515608669,0.8829530499303708,1.0,0.05682807246878658,0.1935495046412257,0.0,0.03145674952104828
loop1,0.014218671742541818,nan,nan,0.13787021379126974,1.0,0.5475628905092486,0.016567516409592566,0.07719346336275786,0.06887558721568053,0.0,0.8415710123842239,0.6019448288524077,0.01958084140659331,0.5766351777699906,0.0,0.0
loop2,0.3084782778359026,nan,nan,0.12401438840233088,1.0,0.7356301959519584,0.0,0.5227233752793329,0.16550321867421416,0.0,0.009490168232321048,0.823408081105333,0.4778675220832873,0.28858686435321385,0.05959044638606427,0.015880162297798688
loop3,0.32053218045426946,nan,nan,0.22205029908600654,1.0,0.3423197103762565,0.0,0.869197099910229,0.24640186632780497,0.0,0.0,0.8080145564600071,0.5976758757155647,0.06855322505979028,0.03973890489372844,0.053828357397237576
loop4,0.5349771623486116,nan,nan,0.26784540650838784,0.9648840713163678,1.0,0.31247291540879435,0.51152417421751,0.19539598224007657,0.0,0.010136280046753097,0.6040735613731714,0.577674428892813,0.06862828267386047,0.04672308700016601,0.0011366983027837037
loop5,0.22548460342498142,nan,nan,0.5447451212899753,0.6533635744330563,0.3727237627287291,0.0,0.43461425015898575,0.06226845557844966,0.0,0.0,1.0,0.7152992567449258,0.021764494610436728,0.12205941560147977,0.056950309571032656
loop6,0.5165575732662535,nan,nan,0.562371620894242,0.9812629561361651,0.5167979506462295,0.0,0.6930992534117377,0.07430256322350834,0.0,0.01162136757528122,0.7281035479050291,1.0,0.04778595502242819,0.041758147329062176,0.09949063364022889
loop7,0.2622273368579902,nan,nan,0.013531409085958367,0.7166815469438474,0.8256660137526585,0.008722227308966149,0.4134958346122259,0.06894063854742417,0.0,0.008663335382346404,0.6932796780763959,1.0,0.031027324202592327,0.17661393692663804,0.039544863654786176
loop8,0.26851291815228995,nan,nan,0.588319412658929,0.8474085414631195,1.0,0.00726311148570545,0.9159455153771393,0.0,0.00726311148570545,0.00726311148570545,0.9550164529106755,0.6626978126657311,0.03373243574896459,0.08627909589147255,0.06154558483332135
loop9,0.07293040409356118,nan,nan,0.3601256673471144,1.0,0.3534155753041106,0.007978466757027772,0.40512740728300134,0.12487866961289676,0.0,0.010374154174874388,0.7173992670748915,0.38200005365215395,0.0,0.075678249317865,0.2206667051981518
main,0.48589485273297783,nan,nan,0.44336729848379636,0.4923150991136925,0.3306273377234194,0.1708566461249583,0.08323928391694956,0.21960594850286388,0.09459640051305702,0.03154832960227731,1.0,0.45314576279218377,0.4489686585229442,0.0,0.0
passive_advection,0.20357436107281524,nan,nan,0.4221002075045069,1.0,0.6780143910937197,0.0,0.04790845644642974,0.0330108757397446,0.02630890311501431,0.0,0.6610054895118925,0.3381449044506882,0.008017609849197674,0.0,0.039445208987329075
x_direction,0.2080340290042556,nan,nan,0.6018934888755076,1.0,0.309982290854411,0.0,0.3944057122893038,0.34018708120772295,0.010126458971642018,0.01236666084621871,0.6348742554135746,0.5380692579442995,0.15681595367535628,0.02887815600247047,0.0
y_direction,0.29382073806949693,nan,nan,0.18917802211313256,0.6274807508121952,0.30319265313042765,0.0,0.27734125995953623,0.15526181671743075,0.0,0.0,1.0,0.529331957149888,0.267191840841963,0.36334088975129936,0.0
z_direction,0.26401828841590197,nan,nan,0.10975357680404252,0.6213689712854079,0.27692871534781693,0.09843437623891366,0.0,0.16854548470023947,0.09843437623891366,0.13425278450363276,0.9577890747905674,1.0,0.44630478669029877,0.09843437623891366,0.27554002660229493
