Region,BACLEARS:ANY,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,L2_RQSTS:L2_PF_MISS,OFFCORE_RESPONSE_0:DMND_DATA_RD,OFFCORE_REQUESTS:DEMAND_DATA_RD,L1D_PEND_MISS:FB_FULL,OFFCORE_RESPONSE_1:SPLIT_LOCK_UC_LOCK,OFFCORE_RESPONSE_0:PF_L3_DATA_RD,IDQ:MS_UOPS,MISALIGN_MEM_REF:STORES,ILD_STALL:LCP,L2_RQSTS:CODE_RD_HIT,BR_INST_RETIRED:NEAR_RETURN,RS_EVENTS:EMPTY_END,DTLB_STORE_MISSES:WALK_COMPLETED,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD,L2_RQSTS:MISS,PAGE_WALKER_LOADS:DTLB_MEMORY,OFFCORE_RESPONSE_0:PF_L3_RFO,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO,UOPS_RETIRED:STALL_CYCLES,L2_LINES_OUT:DEMAND_DIRTY,HLE_RETIRED:ABORTED,MEM_LOAD_UOPS_RETIRED:L2_MISS,L2_RQSTS:ALL_PF,LONGEST_LAT_CACHE:REFERENCE,OFFCORE_REQUESTS:ALL_DATA_RD,MEM_LOAD_UOPS_RETIRED:HIT_LFB,BR_MISP_EXEC:ALL_CONDITIONAL,ILD_STALL:IQ_FULL,BR_MISP_EXEC:ALL_BRANCHES,TLB_FLUSH:DTLB_THREAD,BR_INST_EXEC:ALL_DIRECT_JMP,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,ICACHE:IFETCH_STALL,OFFCORE_REQUESTS:DEMAND_CODE_RD,BR_MISP_RETIRED:NEAR_TAKEN,TX_MEM:ABORT_HLE_ELISION_BUFFER_MISMATCH,TX_MEM:ABORT_HLE_ELISION_BUFFER_UNSUPPORTED_ALIGNMENT,MEM_LOAD_UOPS_RETIRED:L3_MISS,OFFCORE_RESPONSE_1:PF_L3_RFO,MISALIGN_MEM_REF:LOADS,ITLB_MISSES:WALK_DURATION,L1D_PEND_MISS:REQUEST_FB_FULL,MACHINE_CLEARS:MEMORY_ORDERING,UOPS_RETIRED:ALL,BR_INST_RETIRED:NEAR_CALL,DTLB_LOAD_MISSES:WALK_DURATION,L2_RQSTS:ALL_DEMAND_MISS,OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD,MOVE_ELIMINATION:INT_NOT_ELIMINATED,UOPS_ISSUED:ANY,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD,L2_LINES_IN:ALL,L1D_PEND_MISS:PENDING_CYCLES,LOCK_CYCLES:CACHE_LOCK_DURATION,L1D_PEND_MISS:PENDING,OFFCORE_REQUESTS:DEMAND_RFO,INT_MISC:RECOVERY_CYCLES,BR_INST_RETIRED:CONDITIONAL,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,LONGEST_LAT_CACHE:MISS,L2_RQSTS:REFERENCES,BR_INST_RETIRED:NEAR_TAKEN,LD_BLOCKS:NO_SR,LD_BLOCKS:STORE_FORWARD,PAGE_WALKER_LOADS:DTLB_L2,BR_INST_RETIRED:NOT_TAKEN,BR_INST_RETIRED:FAR_BRANCH,MEM_LOAD_UOPS_RETIRED:L1_MISS,PAGE_WALKER_LOADS:DTLB_L1,IDQ_UOPS_NOT_DELIVERED:CYCLES_FE_WAS_OK,BR_INST_EXEC:ALL_INDIRECT_NEAR_RETURN,ARITH:DIVIDER_UOPS,OFFCORE_REQUESTS_BUFFER:SQ_FULL,L2_RQSTS:RFO_MISS,BR_MISP_EXEC:ALL_INDIRECT_JUMP_NON_CALL_RET,L2_TRANS:CODE_RD,UOPS_ISSUED:SLOW_LEA,BR_INST_EXEC:ALL_CONDITIONAL,DTLB_LOAD_MISSES:PDE_CACHE_MISS,MOVE_ELIMINATION:SIMD_ELIMINATED,L1D:REPLACEMENT,OFFCORE_RESPONSE_1:DMND_DATA_RD,BR_INST_EXEC:ALL_DIRECT_NEAR_CALL,RESOURCE_STALLS:ROB,L2_RQSTS:CODE_RD_MISS,RESOURCE_STALLS:ANY,LOCK_CYCLES:SPLIT_LOCK_UC_LOCK_DURATION,DTLB_STORE_MISSES:WALK_DURATION,L2_RQSTS:ALL_DEMAND_REFERENCES,TLB_FLUSH:STLB_ANY,MOVE_ELIMINATION:INT_ELIMINATED,OFFCORE_RESPONSE_0:SPLIT_LOCK_UC_LOCK,L2_LINES_OUT:DEMAND_CLEAN,MEM_UOPS_RETIRED:STLB_MISS_STORES,RESOURCE_STALLS:RS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,ITLB:ITLB_FLUSH,OFFCORE_RESPONSE_0:PF_L3_CODE_RD,DTLB_STORE_MISSES:PDE_CACHE_MISS,BR_MISP_RETIRED:ALL_BRANCHES,UOPS_ISSUED:FLAGS_MERGE,UOPS_ISSUED:SINGLE_MUL,TX_MEM:ABORT_CONFLICT,BR_MISP_RETIRED:CONDITIONAL,DTLB_LOAD_MISSES:WALK_COMPLETED,RS_EVENTS:EMPTY_CYCLES,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,TX_MEM:ABORT_HLE_STORE_TO_ELIDED_LOCK,OFFCORE_RESPONSE_1:PF_L3_DATA_RD,FP_ASSIST:ANY,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,DTLB_LOAD_MISSES:WALK_COMPLETED_4K,EPT:WALK_CYCLES,PAGE_WALKER_LOADS:DTLB_L3,TX_MEM:ABORT_CAPACITY_WRITE,TX_MEM:ABORT_HLE_ELISION_BUFFER_NOT_EMPTY,IDQ_UOPS_NOT_DELIVERED:CORE,UOPS_EXECUTED:STALL_CYCLES,RESOURCE_STALLS:SB,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,OFFCORE_RESPONSE_1:PF_L3_CODE_RD
Nyx::remove_virtual_particles(),7.119383036127099e-08,5.898151349247891e-07,9.218210913356633e-06,0.0,0.0,0.0,0.0,0.0,1.0944297177258193e-06,0.0,0.0,0.0,0.0,4.626779002464513e-06,0.0,5.531336124745549e-06,1.3461850096407417e-06,7.318857295603168e-07,0.0,0.0,2.9345668588276648e-06,3.5830464678175417e-06,0.0,0.0,1.557871725523099e-06,0.0,0.0,3.2645353909149564e-07,1.224108848468128e-06,1.8177461469520166e-06,8.450347742188196e-06,0.0,8.353850325640662e-07,4.254091440844217e-06,3.809741278458455e-06,-3.3070112453084515e-07,7.067593966752288e-07,0.0,0.0,4.023364714213634e-06,0.0,0.0,2.9672474956812523e-06,0.0,-2.7843507826657293e-06,5.123969966591915e-06,0.0,2.337309098265233e-07,1.6874586858850335e-06,0.0,3.1544527447775162e-06,2.401589527915152e-07,2.9826714875797227e-06,1.4769714143215749e-06,1.1179479670209484e-06,0.0,1.732895765224749e-06,3.287606023941685e-07,2.8738337381489682e-06,0.0,0.0,-1.476137070738673e-06,6.95434549375104e-06,0.0,0.0,0.0,2.3702186032070737e-06,0.0,0.0,1.9642893034445193e-07,8.698041238701355e-07,6.05738219974346e-07,4.687789312833589e-06,2.9719917033116757e-06,0.0,6.96329636997149e-06,0.0,9.869803688605079e-06,1.1801528882892416e-06,2.418741473216116e-06,2.848733981696935e-06,0.0,6.253751982717098e-06,0.0,3.0591438501430432e-06,-8.479799867143763e-07,7.436387708797144e-06,6.311151338089142e-07,0.0,8.601382124987612e-06,2.8104325596116397e-05,0.0,8.680667807681099e-07,0.0,7.760999802997285e-07,-2.4718465428612096e-06,1.0800988559249337e-07,7.156141914073379e-06,7.903268557982065e-06,0.0,6.084945544799324e-06,4.042932673713483e-06,1.5533047229038525e-06,0.0,0.0,0.0,2.5191021791189536e-05,2.6914841744808e-06,0.0,0.0,0.0,0.0,0.0,2.1988937272961876e-05,0.0,1.1772299720655131e-06,0.0,0.0,8.451911649579605e-07,1.4269056651967276e-06,-1.0097220257726034e-07,1.3641890075238548e-05,0.0
Nyx::setup_virtual_particles(),3.580118094602794e-06,1.4884342703255984e-06,6.386204749020044e-06,0.0,0.0,2.412380705090263e-06,0.0,0.0,1.1734908687651134e-05,1.0284619035757117e-06,0.0,0.0,0.0,4.651236794575322e-06,0.0,0.0,2.336868672619363e-06,0.0,0.0,1.7270830975786702e-06,4.5563324966830486e-07,3.883076180025675e-06,0.0,3.3395140316646068e-06,2.127893700877697e-06,1.3237557769851832e-06,0.0,8.4825430970778e-06,5.345437299118863e-06,1.2945044193606644e-06,4.653083103201923e-06,0.0,4.298769627706678e-06,3.1763040683071463e-06,3.6132117145810734e-06,5.591323726689845e-07,7.819004105049013e-06,0.0,0.0,3.438790794613721e-07,0.0,0.0,1.686952512555709e-06,1.0572995464089338e-06,-2.2685828116632837e-06,2.469944382981916e-05,0.0,5.531540044374615e-06,4.27563349199918e-06,-1.530341771095703e-07,1.8147883778999423e-06,2.460614890432269e-06,1.0040613452280815e-06,2.0109513700580846e-05,9.38850772479829e-07,0.0,1.4172568757899735e-06,5.651196788435036e-07,8.22650142365121e-06,0.0,0.0,1.0660559659554016e-06,6.709308722210647e-06,0.0,0.0,1.3465387955902176e-06,0.0,0.0,0.0,8.775210836870929e-07,2.8072248358479856e-08,1.944841486899823e-06,4.5611389723274816e-07,0.0,4.464252510947237e-06,7.687419108275157e-06,0.0,4.082275936474798e-06,-1.1144810848513385e-06,9.388124378509918e-06,1.0023538996016143e-05,0.0,1.1815304839897929e-05,7.141746210397854e-07,1.7687917857966108e-06,0.0,1.5619076487326291e-06,3.899779590512952e-06,0.0,1.1405621095756622e-06,4.373057125249345e-06,0.0,6.119715940969201e-06,0.0,2.0383125554792165e-06,0.0,2.2633381093047007e-06,0.0,0.0,0.0,3.201342715511353e-06,4.888291493885454e-06,1.8466693796568245e-06,0.0,0.0,4.206337099831954e-06,0.0,5.598258267108127e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0490804201587316e-06,4.6337994775388635e-07,0.0,0.0,0.0
Nyx::strang_hydro(),1.0365461105748437,10.783977417941408,2.141100053256658,0.0,0.7406001395569581,2.501344485622504,0.0,0.0,4.295176613438369,0.0,7.778553305583371,0.0,0.0,0.0,4.273781576313215,15.015767530809327,0.0,1.0098650027287117,0.0,42.45796336222741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.57544742248374,2.5856752364301463,0.0,0.0,0.0,0.0,11.459864970416474,0.0,0.0,0.0,3.3987683214737503,0.0,0.0,0.0,14.888935007307706,49.71608123693071,24.574507654429027,0.0,0.0,13.782286656705455,0.0,1.2263451722258802,0.0,0.0,2.665110193436485,0.0,0.0,0.865948521624222,0.0,0.0,0.0,0.0,0.0,3.12525644894626,0.0,0.0,1.7431296948640267,-1.3873014184584518,0.0,0.0,0.0,1.4270764213763962,30.356851606681804,0.0,0.0,0.0,0.0,2.168427606965573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.785388528563317,11.532159391413604,0.0,-3.293935981166224,0.0,0.0,0.0,9.493081718839978,0.0,16.887467355691903,2.620280421057499,0.0,40.72240770000639,0.0,0.0,37.0135751283683,0.0,0.0,5.497100551983165,2.958879635942134,47.76158649987652,0.0,0.0,8.635827315347518,1.7673057912807204,5.139082265573247,0.0,25.430480499267997,0.0,0.0,0.0,0.0,0.0,-10.483825994126288,0.0
analriem,0.7655215714334149,0.0,6.219179229616404,0.1075319483405524,0.18872707310764497,-0.9968135699910925,0.0,0.0,0.0,0.0,6.4989791284248914,0.0,0.0,0.0,1.3111978837835243,0.0,6.1271457565044924,3.996829344850017,0.0,0.0,0.0,4.266750018901404,0.0,0.0,1.205086395078918,0.18621002534056857,0.0,0.22690054461573297,0.20582081161798804,0.0,0.0,0.0,0.0,0.43654884828006274,3.794630574840264,0.18716773629778913,0.0,0.0,0.0,1.0756233862483169,0.0,0.0,0.8049379755054606,-1.7171225965728802,0.187328023824776,0.0,0.0,1.3920001374456572,3.0156281655294395,1.8861021457783056,0.1621864473828285,0.0,0.0,0.5107953676611565,0.29116284514514496,0.0,0.3890058823556376,0.5721246840554548,0.0,0.0,2.910480395222075,5.400146213949886,0.0,0.0,0.7805741047808021,1.4550630661475108,3.296008955965284,0.0,0.0,0.18448345822491186,0.19697561879052838,0.0,0.0,0.0,0.5219270995987234,3.954695153792179,0.2063482290840932,0.0,0.0,0.0,0.5783519009832578,0.0,5.142356278579288,0.0,0.0,0.0,1.0124818263703212,0.1932777306374406,0.0,3.139335457091217,0.0,0.0,0.0,0.0,3.836796958034881,-1.4188704783473958,0.0,1.5653833639403245,3.3362009960919043,0.0,4.339828664536527,0.0,0.0,0.0,0.0,0.2147319329905569,1.550578554785206,0.6088516873301195,4.059919976521914,0.0,0.0,0.0,0.2913144896369469,1.3968737324806926,0.0,0.13360451607316132,0.0,0.0,2.209399947935471,0.0,1.2098040892558035,2.9257119631736037,0.0
ctoprim,0.0,0.0,0.0,0.0,0.0,0.0868301596931343,0.0,0.0,0.32033716311330573,0.3641020780789221,0.3742248540557563,0.05438936070079997,0.0,0.0,0.02022162101175879,0.0,0.018298491377011367,0.01830622074058048,0.0,0.0,0.0,0.014705226652248332,0.0,0.028622140113493715,0.0,0.0,0.0,0.0,0.0,0.13576980102200412,0.0,0.0,0.4229337086968649,0.0,0.0,0.0,0.10928767091360225,0.0,0.0,0.0,0.0,0.0,0.3413432237437889,0.10972196539165809,0.0,0.0,0.016243050209598466,0.028214618201402544,0.022770218213579642,0.0,0.0,0.0,0.06858782940397416,0.018893457083798793,0.0,0.0,0.06092208235160836,0.0,0.02552439590800878,0.009254731954679064,0.4548599871328658,0.02625392448697149,0.0,0.0,0.30960890323045925,0.1539902010828165,0.01251239789231235,0.4047586044666554,0.017804108366099424,0.0,0.20827088643735567,0.0,0.0,0.05358098279946935,0.0,0.0,0.1076665646325352,0.0,0.0,0.392316294191236,0.0464753448972862,0.0,0.0,0.0,0.0,0.032551507377606106,0.0,0.0,0.0,0.04082908630144159,0.009962098026671539,0.0,0.0,0.0,0.0,0.31744423181850856,0.0,0.024732197618502583,-0.17213650574295458,0.0,0.02323807730647541,0.0,0.02493020502960755,0.0,0.0,0.020199556018778323,0.05181536536086782,0.5894372968345759,0.4538726000704736,0.0,0.0,0.0,-0.01720827055173012,0.08764806982231128,0.0,0.024002811907787035,0.0,0.0,0.0,0.010493017066554075,0.03856562289995792,0.3763474674192234,0.0
loop1,0.00874262315862308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03694593058537421,0.0,0.0,0.0,0.09522712670583028,0.0,0.0,0.038840532954539764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06697412997134389,0.004303689060201108,0.0,0.0,0.0,0.022822047366960748,0.006479556134065434,0.0,0.12793321104732575,0.0,0.0,-0.009668777509609533,0.0,0.0,0.0028422364531014966,0.004875365823139953,0.0,0.0,0.0,0.019257340816768914,0.0,0.0,0.16723615374486633,0.0,0.005484354920112597,0.0,0.0,0.0,0.0,0.0,0.006255635661026564,0.0,-0.0260557379088578,0.04374705836266006,0.0,0.0,0.01184261493236868,0.04851500702875408,0.007575917456451848,0.0,0.0,0.0,0.024402325745153747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05941167202938869,0.0,0.0,0.0,0.0,0.07154446529184166,0.0,0.0,0.0,0.06323480717987838,0.0,0.0,0.0,0.0,0.0,0.03739241935002011,0.020887667049328495,0.03219509546270293,0.0008285275166469003,0.0,0.02669629420138202,0.08246312875288733,0.0,0.0,0.0,0.04033285325150812,0.03174199055738746,0.03696365839136924,0.07437485268551926,0.0,0.0,0.0,0.05247383222802681,0.05145407063694914,0.0,0.026181169774957293,0.0,0.0,0.0,0.0,0.04944100741217742,0.06901797964246098,0.0
loop2,0.002749315116302858,0.01698131988191442,0.012362972216070809,0.0,0.00907381696038689,-0.00028100886446213275,0.0,0.0,0.0,-0.0008327029838903737,0.0012573784494405683,0.0,0.0,0.0,0.015353668815448506,0.0,0.0,0.0030976618742011627,0.0,0.0033836467234540425,0.0,0.05574951469670461,0.0,0.018024973266052405,0.004867471086686764,0.005958470759119349,0.001634793597426306,0.016447913753561763,0.0,0.008753635188567217,0.0,0.0,0.0,0.01295332347612181,0.008453880144740458,0.0082854842333597,0.0019471912368308722,0.0,0.0,0.02324340454203425,0.0,0.0,0.004478558186539344,-0.007888564142705824,0.05070206025201969,0.0,0.0,0.04717965779375431,0.0,0.0,0.05912563336032672,0.0,0.003856845930111872,0.0,0.006054758842605756,0.0,0.020675036749599106,0.03861810515465434,0.0,0.0,-0.007147857115987381,0.0034719145665601547,0.0,0.0,0.0,0.060141387792503644,0.03186835136040664,0.0,0.0,0.005896592121615385,0.01502968655268981,0.0,0.0,0.006586594251810103,0.0015298013603282689,0.0013802776364644877,0.0,0.0,0.0,0.0,0.025747276705069076,0.0,0.06761110235794984,0.0,0.0,-0.0032048807133684015,0.0017251835443324258,0.04275056745180887,0.0,0.010560727623687125,0.009537136682999483,0.0,0.0,0.0,0.0,0.0,0.0,0.015926847244550478,0.006136671904632644,0.0,0.021691610697620493,0.0,0.0,0.0,0.0,0.0,0.022228269962053532,0.004698941206411624,0.05295743966754502,0.0,0.0,0.0,0.0,0.009272645318350491,0.0,0.03492893492406388,0.0,0.0,0.0,0.0,0.017941341657755246,0.004878430481231001,0.0
loop3,0.0337361181772817,0.0051567870296055016,0.006974316483249126,0.006256841384955081,0.009054731362795505,0.03455664148839507,0.0,0.0,0.0,0.00735965199936987,0.0008908190229010302,0.0,0.0,0.001467298262234937,-0.002488487099960916,0.0018387521362536697,0.003629300897330262,0.014861433066533522,0.0,0.0,0.0,0.00551103480292853,0.0,0.016934484093758972,0.0025333438610814973,0.0,0.019501769371524903,0.001487569960712361,0.0,0.0016152417549038093,0.0,0.0,0.0,0.03430733079122689,0.001574788728466852,0.0013223861364148653,0.0,0.0,0.0,0.01141380079374195,0.0,0.0,0.0032183974862867305,0.028554218447968474,0.0,0.0,0.0,0.038020354532126474,0.002054379357839486,0.006480842647887559,0.01197092236961919,0.0,0.00326961120688355,0.07233890965819677,0.035745858531506636,0.0,0.042812587506042395,0.001333115303691162,0.0,0.0,0.012883954949402388,0.015195968390986421,0.0019327556013929272,0.0,0.0,0.00984187631631194,0.014893665086154924,0.0,0.0,0.0016738213542488375,0.008436144128552491,0.0,0.0,0.015078591128975196,0.008401502650261121,-0.007776749376284826,0.0,0.0017145490228756418,0.0,0.0,0.02750948746759891,0.0,0.0017538827126592574,0.004298516739388528,0.0,0.033992944149830534,0.0,0.0,0.0,0.01925967411238762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022855974680480416,0.01754946497914028,0.0,0.012995905848144054,0.0,0.0,0.0,0.0,0.0,0.009153464353969448,0.0,0.035876305772408114,0.0,0.0,0.0,0.0,0.006125277748536,0.0,0.04602183196369988,0.0,0.0,0.0,0.0,0.009106189507552544,0.008252183225805686,0.0
loop4,0.041730506283093056,0.06560470210746659,0.007645415483827202,0.002516105702792119,0.028603631908387064,0.0210986754725201,0.0,0.0,0.0,0.0076458178404640335,-0.02615975944083087,0.0,0.0,0.0017058390512625374,0.0,0.004526614573785395,0.0,0.0005290350598120646,0.0,0.027347066793201768,0.0,0.026120082432530226,0.0,0.0051173261954047325,0.0,0.03384140651410335,0.0050193734998015445,0.0,0.0,0.003059845189729329,0.001643247343084206,0.0,0.0,-0.014839684882425852,0.0,0.0,0.0,0.0,0.0,0.004797685062562724,0.0,0.0,0.001580660845219096,0.017723386929078686,0.023485751935069833,0.0,0.0,0.0,0.0,0.011454450966781334,0.011136099080792343,0.0,0.001508181535104488,0.03757718537419741,0.017680142285205376,0.0,0.005249594215209367,0.008567481784752938,0.05065252832192248,0.0,0.002180166802234178,0.018745841368311447,0.0,0.0,0.0,0.040767803976204185,0.03253325824875342,0.0,0.0,0.010629406173213743,0.014423959143846324,0.0,0.0,0.00044269698738543667,0.002318437517568543,-0.0018965820530849403,0.0,0.0,0.0,0.0,0.03829254009938034,0.0,0.01201501996726519,0.0,0.0,0.022555857339146893,0.0,0.01498437292158644,0.0,0.0027728474661760506,0.0,0.0,0.0,0.0,0.0036976034980017525,-0.01520797064204536,0.0,0.009588235521057717,0.00499323711547314,0.0,0.00507722644810346,0.0,0.0,0.0,0.0,0.0,0.012899449004869888,0.0,0.0584807778217316,0.0,0.0,0.0,0.0,0.025378971556837337,0.0,0.03246126641594512,0.0,0.0,0.0,0.0,0.024597698572598876,-0.0063518614229041296,0.0
loop5,0.04576854841158633,0.04342819941188487,0.022223840410280332,0.0033834848480675484,0.009573373176304151,0.0035324523508559963,0.0,0.0,0.0,0.0012593231060401865,0.0,0.0,0.0,0.0,0.007684029750673388,0.0,0.007129425921491988,0.003925758796171839,0.0,0.009018557679570844,0.0,0.013622533651844428,0.0,0.050996471400895464,0.05402480965900524,0.0,0.004776072596235085,0.0015884011125637879,0.0,0.0,0.0,0.0,0.0,0.009457987671819025,0.0,0.0,0.0,0.0,0.0,0.049718160614044375,0.0,0.0,0.0,0.005963143679168108,0.011492029123803477,0.0,0.0,0.008656588962993489,0.0017576456832669948,0.0034095798970347714,0.003971684449939386,0.0,0.0028328016269964684,0.003356881963370006,0.047964755876194,0.0,0.008146495820705958,0.001587131339228577,0.0,0.0,0.0005699203519208125,0.017142732567744987,0.04655864379190169,0.0,0.0,0.003479389112213127,0.0006665679081106163,0.0,0.0,0.0019126518235160516,0.014838435123067055,0.0,0.0,0.01436078055088457,0.01272983490823047,0.010205418602143208,0.0,0.0,0.0,0.0,0.027659003800830476,0.0,0.0,0.0,0.0,0.004877568486672122,0.0,0.0,0.0,0.018529053296985964,0.0021775796247407945,0.0,0.0,0.0,0.0015869107607961376,0.0,0.00179505745578043,0.004727305367385891,0.00887434820728669,0.0,0.021929825837394813,0.0,0.0,0.0,0.0,0.0,0.011235106340130852,0.004738195806775901,0.052432795658413474,0.0,0.0,0.0,0.0,0.009965225630665353,0.0,0.005777232849918538,0.0,0.0,0.0,0.0,0.015847855309795888,0.010145745790021967,0.0
