Region,L1,PRE,UNDEFINED,UOPS,FE,L3I,MEM,L2,INT,L3,RTM,FP,BR,STALL,TLB,OFFCORE
Nyx::remove_virtual_particles(),1.7382620674864309,1.7646905778371382,nan,1.7646905778371382,0.6344581008570566,1.3252430565742221,1.6574935714574996,0.6344581008570566,1.7646905778371382,1.7646905778371382,nan,1.7547929802240774,1.7646905778371382,1.7646905778371382,1.7339026203423655,1.7576158711155965
Nyx::setup_virtual_particles(),1.729431436767678,1.7673569596230192,nan,1.2353361034593258,1.7673569596230192,1.7673569596230192,1.2813708151426688,1.2536870417676806,1.7673569596230192,1.7673569596230192,nan,1.7673569596230192,1.6342778279901564,1.7472903117364698,1.7465275776963995,1.7461098079483588
Nyx::strang_hydro(),0.3696694606451796,0.3696694606451796,nan,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.05305113275817371,0.3696694606451796,0.3696694606451796,nan,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.33945420133963217,0.3696694606451796
analriem,0.33556811742011144,0.35011177176645586,nan,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.11686817154898238,0.35011177176645586,0.35011177176645586,0.35011177176645586,nan,0.35011177176645586,0.35011177176645586,0.3162535766953527,0.350019251627945,0.35011177176645586
ctoprim,0.714402978586667,0.714402978586667,nan,0.714402978586667,0.714402978586667,0.714402978586667,0.13857816035429693,0.714402978586667,0.714402978586667,0.714402978586667,nan,0.714402978586667,0.714402978586667,0.703676600654563,0.714402978586667,0.714402978586667
loop1,0.41342127099882797,0.41342127099882797,nan,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.09009093481758267,0.41342127099882797,0.41342127099882797,0.41342127099882797,nan,0.41342127099882797,0.41342127099882797,0.39148869191013674,0.4057297083286397,0.41342127099882797
loop2,0.3173157714506843,0.3175908930636925,nan,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.06180177551396386,0.31753895295470086,0.3175908930636925,0.3175908930636925,nan,0.3169532663131506,0.3175908930636925,0.2965587360173236,0.3023039557856046,0.3172865208835896
loop3,0.34740451703543507,0.34740451703543507,nan,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.059384847123911434,0.34740451703543507,0.34740451703543507,0.3472281136307874,nan,0.34702426920047547,0.34740451703543507,0.3404639569519591,0.3297550245881197,0.3465996333621821
loop4,0.34136559857780235,0.34136559857780235,nan,0.34136559857780235,0.34136559857780235,0.34136559857780235,0.06569378308481134,0.34136559857780235,0.34136559857780235,0.34105621864066293,nan,0.34136559857780235,0.34136559857780235,0.33400459153652384,0.33212926088007805,0.34083567431620615
loop5,0.3560406847444939,0.3560406847444939,nan,0.3560406847444939,0.3560406847444939,0.3560406847444939,0.06632080796113801,0.34955616575891324,0.3560406847444939,0.3547990045710423,nan,0.3560406847444939,0.3560406847444939,0.3560406847444939,0.3456250443629588,0.34826049426641675
loop6,0.34433187006146304,0.34433187006146304,nan,0.34433187006146304,0.34433187006146304,0.34433187006146304,0.23753825578805635,0.2742476274436996,0.34433187006146304,0.34433187006146304,nan,0.34430507573262803,0.34433187006146304,0.34433187006146304,0.27424658849293154,0.3439522171175506
loop7,0.3481379826340514,0.3481379826340514,nan,0.3481379826340514,0.3481379826340514,0.3481379826340514,0.061403313415895604,0.34749370122001794,0.3481379826340514,0.3446324819749377,nan,0.34720415192774123,0.3481379826340514,0.32832397899413546,0.3470904153745645,0.3478479469086585
loop8,0.3449509474151308,0.3449509474151308,nan,0.3449509474151308,0.3449509474151308,0.3449509474151308,0.10637464247441862,0.34483592013382947,0.3449509474151308,0.3390745123415462,nan,0.3449509474151308,0.3449509474151308,0.3199522992998903,0.32106250390181323,0.3449509474151308
loop9,0.3458648733038072,0.3458648733038072,nan,0.3458648733038072,0.3458648733038072,0.3458648733038072,0.12235903671735425,0.3458648733038072,0.3458648733038072,0.3412485895106486,nan,0.3458648733038072,0.3458648733038072,0.3310367772678633,0.3458648733038072,0.3450062875610992
main,0.709173434560437,0.709173434560437,nan,0.709173434560437,0.709173434560437,0.48614575668470406,0.49719989564779327,0.5016191008967736,0.709173434560437,0.709173434560437,nan,0.709173434560437,0.709173434560437,0.709173434560437,0.709173434560437,0.709173434560437
passive_advection,0.36747689907817177,0.36747689907817177,nan,0.36747689907817177,0.36747689907817177,0.36747689907817177,0.1444362002798131,0.3517724042841888,0.36747689907817177,0.36747689907817177,nan,0.36747689907817177,0.36747689907817177,0.33334588302263984,0.33004593065931737,0.36747689907817177
x_direction,0.3547771149633806,0.3547771149633806,nan,0.3547771149633806,0.3547771149633806,0.3547771149633806,0.21864011471793934,0.3547771149633806,0.3547771149633806,0.3547771149633806,nan,0.3547771149633806,0.3547771149633806,0.32392285853140534,0.28684393622622995,0.3547771149633806
y_direction,0.35091707543510037,0.35091707543510037,nan,0.35091707543510037,0.35091707543510037,0.35091707543510037,0.14911282805892453,0.35091707543510037,0.35091707543510037,0.35091707543510037,nan,0.35091707543510037,0.35091707543510037,0.33292667702107803,0.34809177451054196,0.35091707543510037
z_direction,0.35126784655775156,0.35126784655775156,nan,0.35126784655775156,0.35126784655775156,0.35126784655775156,0.19136573436084897,0.35126784655775156,0.35126784655775156,0.35126784655775156,nan,0.3448513243380133,0.35126784655775156,0.3266793177477782,0.34865658951625655,0.35126784655775156
