Region,L2_LINES_OUT:DEMAND_CLEAN,TX_MEM:ABORT_HLE_STORE_TO_ELIDED_LOCK,IDQ_UOPS_NOT_DELIVERED:CORE,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,BR_INST_RETIRED:NEAR_TAKEN,RS_EVENTS:EMPTY_CYCLES,BR_MISP_RETIRED:CONDITIONAL,UOPS_ISSUED:SINGLE_MUL,TX_MEM:ABORT_HLE_ELISION_BUFFER_UNSUPPORTED_ALIGNMENT,DTLB_LOAD_MISSES:PDE_CACHE_MISS,BR_INST_EXEC:ALL_DIRECT_NEAR_CALL,PAGE_WALKER_LOADS:DTLB_L1,PAGE_WALKER_LOADS:DTLB_L2,PAGE_WALKER_LOADS:DTLB_MEMORY,L2_TRANS:CODE_RD,BR_INST_RETIRED:FAR_BRANCH,LONGEST_LAT_CACHE:REFERENCE,L1D_PEND_MISS:FB_FULL,BR_MISP_EXEC:ALL_BRANCHES,IDQ_UOPS_NOT_DELIVERED:CYCLES_FE_WAS_OK,DTLB_STORE_MISSES:WALK_COMPLETED,OFFCORE_RESPONSE_0:SPLIT_LOCK_UC_LOCK,BR_INST_RETIRED:CONDITIONAL,BR_INST_RETIRED:NEAR_CALL,TX_MEM:ABORT_HLE_ELISION_BUFFER_NOT_EMPTY,UOPS_ISSUED:SLOW_LEA,IDQ:MS_UOPS,HLE_RETIRED:ABORTED,MISALIGN_MEM_REF:LOADS,RS_EVENTS:EMPTY_END,ITLB:ITLB_FLUSH,L2_RQSTS:RFO_MISS,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,OFFCORE_REQUESTS:DEMAND_RFO,TLB_FLUSH:DTLB_THREAD,MEM_LOAD_UOPS_RETIRED:HIT_LFB,DTLB_LOAD_MISSES:WALK_COMPLETED,LOCK_CYCLES:CACHE_LOCK_DURATION,BR_MISP_EXEC:ALL_CONDITIONAL,ITLB_MISSES:WALK_DURATION,MEM_UOPS_RETIRED:STLB_MISS_STORES,L2_RQSTS:REFERENCES,L2_RQSTS:L2_PF_MISS,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,BR_INST_EXEC:ALL_DIRECT_JMP,L2_RQSTS:CODE_RD_MISS,OFFCORE_RESPONSE_0:PF_L3_RFO,ARITH:DIVIDER_UOPS,BR_INST_EXEC:ALL_INDIRECT_NEAR_RETURN,UOPS_ISSUED:ANY,OFFCORE_REQUESTS_BUFFER:SQ_FULL,OFFCORE_RESPONSE_0:PF_L3_CODE_RD,BR_MISP_EXEC:ALL_INDIRECT_JUMP_NON_CALL_RET,MISALIGN_MEM_REF:STORES,UOPS_RETIRED:ALL,ILD_STALL:LCP,DTLB_STORE_MISSES:WALK_DURATION,ICACHE:IFETCH_STALL,TX_MEM:ABORT_CAPACITY_WRITE,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,EPT:WALK_CYCLES,BACLEARS:ANY,MOVE_ELIMINATION:INT_ELIMINATED,L1D_PEND_MISS:REQUEST_FB_FULL,OFFCORE_RESPONSE_0:PF_L3_DATA_RD,BR_MISP_RETIRED:NEAR_TAKEN,RESOURCE_STALLS:ANY,DTLB_LOAD_MISSES:WALK_DURATION,INT_MISC:RECOVERY_CYCLES,L1D_PEND_MISS:PENDING_CYCLES,ILD_STALL:IQ_FULL,OFFCORE_RESPONSE_1:PF_L3_RFO,OFFCORE_RESPONSE_1:PF_L3_DATA_RD,L2_LINES_IN:ALL,UOPS_EXECUTED:STALL_CYCLES,LOCK_CYCLES:SPLIT_LOCK_UC_LOCK_DURATION,UOPS_ISSUED:FLAGS_MERGE,L1D:REPLACEMENT,MOVE_ELIMINATION:INT_NOT_ELIMINATED,DTLB_STORE_MISSES:PDE_CACHE_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,RESOURCE_STALLS:ROB,LD_BLOCKS:STORE_FORWARD,OFFCORE_RESPONSE_0:DMND_DATA_RD,L2_RQSTS:MISS,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD,BR_INST_EXEC:ALL_CONDITIONAL,OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD,OFFCORE_REQUESTS:ALL_DATA_RD,L2_RQSTS:ALL_PF,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO,RESOURCE_STALLS:SB,DTLB_LOAD_MISSES:WALK_COMPLETED_4K,MEM_LOAD_UOPS_RETIRED:L2_MISS,UOPS_RETIRED:STALL_CYCLES,MEM_LOAD_UOPS_RETIRED:L1_MISS,PAGE_WALKER_LOADS:DTLB_L3,MACHINE_CLEARS:MEMORY_ORDERING,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,OFFCORE_RESPONSE_1:DMND_DATA_RD,TX_MEM:ABORT_HLE_ELISION_BUFFER_MISMATCH,LD_BLOCKS:NO_SR,MEM_LOAD_UOPS_RETIRED:L3_MISS,OFFCORE_REQUESTS:DEMAND_CODE_RD,LONGEST_LAT_CACHE:MISS,TLB_FLUSH:STLB_ANY,BR_INST_RETIRED:NEAR_RETURN,FP_ASSIST:ANY,BR_INST_RETIRED:NOT_TAKEN,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD,OFFCORE_REQUESTS:DEMAND_DATA_RD,L2_RQSTS:ALL_DEMAND_MISS,L1D_PEND_MISS:PENDING,L2_LINES_OUT:DEMAND_DIRTY,L2_RQSTS:CODE_RD_HIT,RESOURCE_STALLS:RS,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,MOVE_ELIMINATION:SIMD_ELIMINATED,L2_RQSTS:ALL_DEMAND_REFERENCES,BR_MISP_RETIRED:ALL_BRANCHES,OFFCORE_RESPONSE_1:PF_L3_CODE_RD,OFFCORE_RESPONSE_1:SPLIT_LOCK_UC_LOCK,TX_MEM:ABORT_CONFLICT
Nyx::remove_virtual_particles(),0.0,0.0,0.0,0.03719442463639761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06076534764280683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037885880028292566,0.0,0.04704881150048526,0.0,0.0,0.016392452132518893,0.0,0.0,0.0,0.025768645603715987,0.0,0.5755653678945706,0.0,0.0,0.0,0.0,0.0,0.02026904506770089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03065526774132735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009984168071492636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4503533220371428,0.0,0.0,0.0,0.5619202148210899,0.0,0.0,0.0,0.0
Nyx::setup_virtual_particles(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038495952891626245,0.0,0.0,0.0,0.0,0.4457647766168293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16098798521958224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03729918751675703,0.5451597734629635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026445698851356177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180704545458192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03706648313831024,0.0,0.0,0.0,0.0,0.00886886463520747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04612857478078311,0.017221808089264972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyx::strang_hydro(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06527047125635708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33528301768169444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743044595690829e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analriem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016897432546742412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030872847327816024,0.0,2.791662785556942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07266076313048407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017215094502776678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6584588741509557e-06,0.0,0.0,6.98744518650725e-05,0.0,0.0,0.30469881351957007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctoprim,0.0,0.0,0.0,0.04740660057653281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095346576854483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345916053968973,0.0,0.04370581087877839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.00011453800465862173,0.0,0.0,0.0,0.0,0.0,0.027345411648470378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18015301930880043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04642249570114118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08077003848252852,0.0,0.0,0.0,0.08011603353512485,0.0,0.0825066274292485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018138364998551715,0.0,0.0,0.0,0.0,0.0007274680456220127,0.0,0.0,0.01977844230534792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07686784053395364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027011423190667273,0.0,0.0,0.0,0.001845920774948916,0.0,0.0,0.0016682769230594843,0.0,0.0,0.03100018775639028,0.0,0.03524503094875593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011110517618312568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012416508611872718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033030125974994997,0.020426081853416028,0.0,0.0,0.0,0.0996477146064871,0.0,0.08427107682879412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6034401701010803e-20,0.0,0.04549059984097526,0.0,0.0,0.0,0.0,0.0,0.0,0.006089560553090879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001963503960443126,0.0016842760369754235,0.05846722403185429,0.0017728632289449354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5304805210434586e-19,0.1337515189471213,0.0,0.0,0.0,0.0012885360739718031,0.0,0.0,0.001226549572420551,0.0,0.0,0.017949443394023847,0.0,0.026514625621131587,0.00320759808050803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01930621663867744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.707983595571581e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858730026124161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283100543289471e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.012864539500610587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022437885344228227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001083072383322818,0.0,0.0021853539981982885,0.0,0.0,0.0,0.0,0.0,0.0,0.0027701611328400377,0.0,0.0,0.02042856837192885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012036184098655105,0.014867406859818437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02137284835096655,0.14371259220996324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011117439667876503,0.07192544302144037,0.0,0.0,0.0,0.020444593246711183,0.0,0.09168045416428613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0009562339977018976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014406246216038997,0.0051938697846697955,0.0,0.0,0.0,0.0,0.0,0.0,0.004392051171588104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66643528250843e-19,0.0036009762970677264,0.0842157714088564,0.00544795175483045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003293349799520997,0.0,0.0,0.0,0.0,0.0,0.0,0.015337804371964768,0.0,0.0,0.033307553360254136,0.0,0.0,6.08852980967018e-20,0.0,0.0,2.642439894068264e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1924673058855363e-20,0.0,0.0,0.0,6.279304294659731e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015809708934781643,0.0,0.0,0.002943606527614967,0.0,0.11014534761966592,1.098878251565453e-20,0.0,0.0,0.0,0.0,0.12206246639262042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
