Event,Desc
ARITH.DIVIDER_UOPS,Any uop executed by the Divider. This includes all divide uops; sqrt;AVX_INSTS.ALL;Note that a whole rep string only counts AVX_INST.ALL once. This metric represents fraction of cycles where the Divider unit was active. Divide and square root instructions are performed by the Divider unit and can take considerably longer latency than integer or Floating Point addition; subtraction; or multiplication.
BACLEARS.ANY,Number of front end re-steers due to BPU misprediction.
BR_INST_EXEC.ALL_BRANCHES,Counts all near executed branches (not necessarily retired).
BR_INST_EXEC.ALL_CONDITIONAL,Speculative and retired macro-conditional branches.
BR_INST_EXEC.ALL_DIRECT_JMP,Speculative and retired macro-unconditional branches excluding calls and indirects.
BR_INST_EXEC.ALL_DIRECT_NEAR_CALL,Speculative and retired direct near calls.
BR_INST_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET,Speculative and retired indirect branches excluding calls and returns.
BR_INST_EXEC.ALL_INDIRECT_NEAR_RETURN,Speculative and retired indirect return branches.
BR_INST_EXEC.NONTAKEN_CONDITIONAL,Not taken macro-conditional branches.
BR_INST_EXEC.TAKEN_CONDITIONAL,Taken speculative and retired macro-conditional branches.
BR_INST_EXEC.TAKEN_DIRECT_JUMP,Taken speculative and retired macro-conditional branch instructions excluding calls and indirects.
BR_INST_EXEC.TAKEN_DIRECT_NEAR_CALL,Taken speculative and retired direct near calls.
BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,Taken speculative and retired indirect branches excluding calls and returns.
BR_INST_EXEC.TAKEN_INDIRECT_NEAR_CALL,Taken speculative and retired indirect calls.
BR_INST_EXEC.TAKEN_INDIRECT_NEAR_RETURN,Taken speculative and retired indirect branches with return mnemonic.
BR_INST_RETIRED.ALL_BRANCHES,Branch instructions at retirement.
BR_INST_RETIRED.ALL_BRANCHES_PS,All (macro) branch instructions retired.
BR_INST_RETIRED.CONDITIONAL,Counts the number of conditional branch instructions retired.
BR_INST_RETIRED.CONDITIONAL_PS,Conditional branch instructions retired.
BR_INST_RETIRED.FAR_BRANCH,Number of far branches retired.
BR_INST_RETIRED.NEAR_CALL,Direct and indirect near call instructions retired.
BR_INST_RETIRED.NEAR_CALL_PS,Direct and indirect near call instructions retired.
BR_INST_RETIRED.NEAR_CALL_R3,Direct and indirect macro near call instructions retired (captured in ring 3).
BR_INST_RETIRED.NEAR_CALL_R3_PS,Direct and indirect macro near call instructions retired (captured in ring 3).
BR_INST_RETIRED.NEAR_RETURN,Counts the number of near return instructions retired.
BR_INST_RETIRED.NEAR_RETURN_PS,Return instructions retired.
BR_INST_RETIRED.NEAR_TAKEN,Number of near taken branches retired.
BR_INST_RETIRED.NEAR_TAKEN_PS,Taken branch instructions retired.
BR_INST_RETIRED.NOT_TAKEN,Counts the number of not taken branch instructions retired.
BR_MISP_EXEC.ALL_BRANCHES,Counts all near executed branches (not necessarily retired).
BR_MISP_EXEC.ALL_CONDITIONAL,Speculative and retired mispredicted macro conditional branches.
BR_MISP_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET,Mispredicted indirect branches excluding calls and returns.
BR_MISP_EXEC.NONTAKEN_CONDITIONAL,Not taken speculative and retired mispredicted macro conditional branches.
BR_MISP_EXEC.TAKEN_CONDITIONAL,Taken speculative and retired mispredicted macro conditional branches.
BR_MISP_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,Taken speculative and retired mispredicted indirect branches excluding calls and returns.
BR_MISP_EXEC.TAKEN_INDIRECT_NEAR_CALL,Taken speculative and retired mispredicted indirect calls.
