Event,Desc
BACLEARS.ALL,Counts the number of times the front end resteers for any branch as a result of another branch handling mechanism in the front end.
BACLEARS.COND,Counts the number of times the front end resteers for conditional branches as a result of another branch handling mechanism in the front end.
BACLEARS.RETURN,Counts the number of times the front end resteers for RET branches as a result of another branch handling mechanism in the front end.
BR_INST_RETIRED.ALL_BRANCHES,Counts the number of branch instructions retired
BR_INST_RETIRED.ALL_BRANCHES_PS,Counts the number of branch instructions retired (Precise Event)
BR_INST_RETIRED.CALL,Counts the number of near CALL branch instructions retired.
BR_INST_RETIRED.CALL_PS,Counts the number of near CALL branch instructions retired. (Precise Event)
BR_INST_RETIRED.FAR_BRANCH,Counts the number of far branch instructions retired.
BR_INST_RETIRED.FAR_BRANCH_PS,Counts the number of far branch instructions retired. (Precise Event)
BR_INST_RETIRED.IND_CALL,Counts the number of near indirect CALL branch instructions retired.
BR_INST_RETIRED.IND_CALL_PS,Counts the number of near indirect CALL branch instructions retired. (Precise Event)
BR_INST_RETIRED.JCC,Counts the number of branch instructions retired that were conditional jumps.
BR_INST_RETIRED.JCC_PS,Counts the number of branch instructions retired that were conditional jumps. (Precise Event)
BR_INST_RETIRED.NON_RETURN_IND,Counts the number of branch instructions retired that were near indirect CALL or near indirect JMP.
BR_INST_RETIRED.NON_RETURN_IND_PS,Counts the number of branch instructions retired that were near indirect CALL or near indirect JMP. (Precise Event)
BR_INST_RETIRED.REL_CALL,Counts the number of near relative CALL branch instructions retired.
BR_INST_RETIRED.REL_CALL_PS,Counts the number of near relative CALL branch instructions retired. (Precise Event)
BR_INST_RETIRED.RETURN,Counts the number of near RET branch instructions retired.
BR_INST_RETIRED.RETURN_PS,Counts the number of near RET branch instructions retired. (Precise Event)
BR_INST_RETIRED.TAKEN_JCC,Counts the number of branch instructions retired that were taken conditional jumps.
BR_INST_RETIRED.TAKEN_JCC_PS,Counts the number of branch instructions retired that were conditional jumps and predicted taken. (Precise Event)
BR_MISP_RETIRED.ALL_BRANCHES,Counts the number of mispredicted branch instructions retired
BR_MISP_RETIRED.ALL_BRANCHES_PS,Counts the number of mispredicted branch instructions retired (Precise Event)
BR_MISP_RETIRED.CALL,Counts the number of mispredicted near CALL branch instructions retired.
BR_MISP_RETIRED.CALL_PS,Counts the number of mispredicted near CALL branch instructions retired. (Precise Event)
BR_MISP_RETIRED.FAR_BRANCH,Counts the number of mispredicted far branch instructions retired.
BR_MISP_RETIRED.FAR_BRANCH_PS,Counts the number of mispredicted far branch instructions retired. (Precise Event)
BR_MISP_RETIRED.IND_CALL,Counts the number of mispredicted near indirect CALL branch instructions retired.
BR_MISP_RETIRED.IND_CALL_PS,Counts the number of mispredicted near indirect CALL branch instructions retired. (Precise Event)
BR_MISP_RETIRED.JCC,Counts the number of mispredicted branch instructions retired that were conditional jumps.
BR_MISP_RETIRED.JCC_PS,Counts the number of mispredicted branch instructions retired that were conditional jumps. (Precise Event)
BR_MISP_RETIRED.NON_RETURN_IND,Counts the number of mispredicted branch instructions retired that were near indirect CALL or near indirect JMP.
BR_MISP_RETIRED.NON_RETURN_IND_PS,Counts the number of mispredicted branch instructions retired that were near indirect CALL or near indirect JMP. (Precise Event)
BR_MISP_RETIRED.REL_CALL,Counts the number of mispredicted near relative CALL branch instructions retired.
BR_MISP_RETIRED.REL_CALL_PS,Counts the number of mispredicted near relative CALL branch instructions retired. (Precise Event)
BR_MISP_RETIRED.RETURN,Counts the number of mispredicted near RET branch instructions retired.
BR_MISP_RETIRED.RETURN_PS,Counts the number of mispredicted near RET branch instructions retired. (Precise Event)
BR_MISP_RETIRED.TAKEN_JCC,Counts the number of mispredicted branch instructions retired that were taken conditional jumps.
BR_MISP_RETIRED.TAKEN_JCC_PS,Counts the number of mispredicted branch instructions retired that were conditional jumps and predicted taken. (Precise Event)
CORE_REJECT_L2Q.ALL,Counts the number of MEC requests that were not accepted into the L2Q because of any L2  queue reject condition. There is no concept of at-ret here. It might include requests due to instructions in the speculative path.
CPU_CLK_UNHALTED.REF,Counts the number of unhalted reference clock cycles
CPU_CLK_UNHALTED.REF_TSC,Fixed Counter: Counts the number of unhalted reference clock cycles
CPU_CLK_UNHALTED.THREAD,"This event counts the number of core cycles while the thread is not in a halt state. The thread enters the halt state when it is running the HLT instruction. This event is a component in many key event ratios. The core frequency may change from time to time due to transitions associated with Enhanced Intel SpeedStep Technology or TM2. For this reason this event may have a changing ratio with regards to time. When the core frequency is constant, this event can approximate elapsed time while the core was not in the halt state. It is counted on a dedicated fixed counter"
CPU_CLK_UNHALTED.THREAD_P,Counts the number of unhalted core clock cycles
CYCLES_DIV_BUSY.ALL,"This event counts cycles when the divider is busy. More specifically cycles when the divide unit is unable to accept a new divide uop because it is busy processing a previously dispatched uop. The cycles will be counted irrespective of whether or not another divide uop is waiting to enter the divide unit (from the RS). This event counts integer divides, x87 divides, divss, divsd, sqrtss, sqrtsd event and does not count vector divides."
FETCH_STALL.ICACHE_FILL_PENDING_CYCLES,This event counts the number of core cycles the fetch stalls because of an icache miss. This is a cumulative count of cycles the NIP stalled for all icache misses. 
ICACHE.ACCESSES,"Counts all instruction fetches, including uncacheable fetches."
ICACHE.HIT,Counts all instruction fetches that hit the instruction cache.
ICACHE.MISSES,Counts all instruction fetches that miss the instruction cache or produce memory requests. An instruction fetch miss is counted only once and not once for every cycle it is outstanding.
INST_RETIRED.ANY,"This event counts the number of instructions that retire.  For instructions that consist of multiple micro-ops, this event counts exactly once, as the last micro-op of the instruction retires.  The event continues counting while instructions retire, including during interrupt service routines caused by hardware interrupts, faults or traps."
INST_RETIRED.ANY_P,Counts the total number of instructions retired
INST_RETIRED.ANY_PS,Counts the number of instructions retired (Precise Event)
L2_PREFETCHER.ALLOC_XQ,Counts the number of L2HWP allocated into XQ GP
L2_REQUESTS.MISS,Counts the number of L2 cache misses
L2_REQUESTS.REFERENCE,Counts the total number of L2 cache references.
L2_REQUESTS_REJECT.ALL,"Counts the number of MEC requests from the L2Q that reference a cache line (cacheable requests) excluding SW prefetches filling only to L2 cache and L1 evictions (automatically excludes L2HWP, UC, WC) that were rejected - Multiple repeated rejects should be counted multiple times"
LONGEST_LAT_CACHE.MISS,Counts the number of L2 cache misses
LONGEST_LAT_CACHE.REFERENCE,Counts the total number of L2 cache references.
MACHINE_CLEARS.ALL,Counts all machine clears
MACHINE_CLEARS.FP_ASSIST,This event counts the number of times that the pipeline stalled due to FP operations needing assists.
MACHINE_CLEARS.MEMORY_ORDERING,Counts the number of times the machine clears due to memory ordering hazards
MACHINE_CLEARS.SMC,Counts the number of times that the machine clears due to program modifying data within 1K of a recently fetched code page
MEM_UOPS_RETIRED.ALL_LOADS,This event counts the number of load micro-ops retired.
MEM_UOPS_RETIRED.ALL_STORES,This event counts the number of store micro-ops retired.
MEM_UOPS_RETIRED.DTLB_MISS_LOADS,Counts the number of load micro-ops retired that cause a DTLB miss
MEM_UOPS_RETIRED.DTLB_MISS_LOADS_PS,Counts the number of load micro-ops retired that cause a DTLB miss (Precise Event)
MEM_UOPS_RETIRED.HITM,Counts the loads retired that get the data from the other core in the same tile in M state
MEM_UOPS_RETIRED.HITM_PS,This event counts the number of load micro-ops retired that got data from another core’s cache. (Precise Event).
MEM_UOPS_RETIRED.L1_MISS_LOADS,This event counts the number of load micro-ops retired that miss in L1 Data cache. Note that prefetch misses will not be counted. 
MEM_UOPS_RETIRED.L2_HIT_LOADS,Counts the number of load micro-ops retired that hit in the L2
MEM_UOPS_RETIRED.L2_HIT_LOADS_PS,This event counts the number of load micro-uops retired that hit in the L2 (Precise Event)
MEM_UOPS_RETIRED.L2_MISS_LOADS,Counts the number of load micro-ops retired that miss in the L2
MEM_UOPS_RETIRED.L2_MISS_LOADS_PS,This event counts the number of load micro-ops retired that miss in the L2 (Precise Event)
MEM_UOPS_RETIRED.UTLB_MISS_LOADS,Counts the number of load micro-ops retired that caused micro TLB miss
MS_DECODED.MS_ENTRY,Counts the number of times the MSROM starts a flow of uops.
NO_ALLOC_CYCLES.ALL,Counts the total number of core cycles when no micro-ops are allocated for any reason.
NO_ALLOC_CYCLES.MISPREDICTS,This event counts the number of core cycles when no uops are allocated and the alloc pipe is stalled waiting for a mispredicted branch to retire.
NO_ALLOC_CYCLES.NOT_DELIVERED,"This event counts the number of core cycles when no uops are allocated, the instruction queue is empty and the alloc pipe is stalled waiting for instructions to be fetched."
NO_ALLOC_CYCLES.RAT_STALL,Counts the number of core cycles when no micro-ops are allocated and a RATstall (caused by reservation station full) is asserted.  
NO_ALLOC_CYCLES.ROB_FULL,Counts the number of core cycles when no micro-ops are allocated and the ROB is full
OFFCORE_RESPONSE,Counts the matrix events specified by MSR_OFFCORE_RESPx
PAGE_WALKS.CYCLES,This event counts every cycle when a data (D) page walk or instruction (I) page walk is in progress.
PAGE_WALKS.D_SIDE_CYCLES,Counts the total number of core cycles for all the D-side page walks. The cycles for page walks started in speculative path will also be included.
PAGE_WALKS.D_SIDE_WALKS,Counts the total D-side page walks that are completed or started. The page walks started in the speculative path will also be counted
PAGE_WALKS.I_SIDE_CYCLES,This event counts every cycle when an I-side (walks due to an instruction fetch) page walk is in progress. 
PAGE_WALKS.I_SIDE_WALKS,Counts the total I-side page walks that are completed.
PAGE_WALKS.WALKS,Counts the total page walks that are completed (I-side and D-side)
RECYCLEQ.ANY_LD,Counts any retired load that was pushed into the recycle queue for any reason.
RECYCLEQ.ANY_ST,Counts any retired store that was pushed into the recycle queue for any reason.
RECYCLEQ.LD_BLOCK_ST_FORWARD,Counts the number of occurrences a retired load gets blocked because its address partially overlaps with a store
